,network,station,longitude,latitude,start_date,end_date,sid,x,y,flag
0,BK,BBEB,-122.32975,37.821594,2002-09-10T02:54:00.000000Z,2007-11-20T01:30:00.000000Z,BK.BBEB,42201.02439883375,46929.60891580164,True
1,BK,BDM,-121.86554,37.95397,1998-11-12T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.BDM,54177.39359096579,5213.653253821576,True
2,BK,BKS,-122.23558,37.87622,1987-05-05T00:00:00.000000Z,1991-03-09T00:00:00.000000Z,BK.BKS,42153.48368831818,36660.08527126339,True
5,BK,BL67,-122.243179,37.87492,2011-04-15T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.BL67,41878.37580734571,37286.31648639084,True
6,BK,BL88,-122.254288,37.877151,2011-01-25T21:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.BL88,41104.63181814799,37932.84801727226,True
7,BK,BRIB,-122.15179,37.91886,1995-06-23T16:00:00.000000Z,2014-12-16T03:00:00.000000Z,BK.BRIB,42636.08478646798,27914.31982512284,True
9,BK,BRK,-122.260986,37.87352,1996-08-16T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.BRK,41085.46775964986,38646.55860476577,True
10,BK,BUCI,-122.57818,38.13688,2022-08-26T21:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.BUCI,1059.9814076047514,43998.78898560516,True
11,BK,CMAB,-122.229141,38.06892,2009-12-16T22:00:00.000000Z,2019-10-27T16:06:00.000000Z,BK.CMAB,25156.04603452127,23662.2325310472,True
12,BK,CMSB,-122.25168,37.87195,1994-12-19T20:15:00.000000Z,2010-12-15T19:42:00.000000Z,BK.CMSB,41706.82248512327,38085.52429877044,True
14,BK,CRQB,-122.224869,38.055779,1996-07-04T01:40:00.000000Z,2010-05-17T19:00:00.000000Z,BK.CRQB,26557.642626361026,24213.516939094625,True
15,BK,HERB,-122.26217,38.01239,2001-09-18T23:44:00.000000Z,3000-01-01T00:00:00.000000Z,BK.HERB,28539.125768356767,29690.32481073017,True
16,BK,JRSC,-122.23868,37.40373,1994-06-30T21:20:00.000000Z,3000-01-01T00:00:00.000000Z,BK.JRSC,84477.3160244927,67630.93129156422,True
17,BK,LLNL,-121.71675,37.68188,2022-04-07T00:33:00.000000Z,3000-01-01T00:00:00.000000Z,BK.LLNL,86361.3650032265,12154.201396107987,True
21,BK,MHDL,-122.49431,37.84232,2006-05-17T23:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.MHDL,31824.29877580644,57297.4735177438,True
22,BK,OHLN,-122.27299,38.00625,2001-10-05T00:00:00.000000Z,2011-08-16T21:24:37.000000Z,BK.OHLN,28533.770755064346,30859.72847180948,True
24,BK,OXMT,-122.42431,37.49936,2003-12-20T00:10:00.000000Z,3000-01-01T00:00:00.000000Z,BK.OXMT,66240.93832001464,74694.90511082229,True
25,BK,PETB,-122.501099,38.1189,2010-09-10T01:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.PETB,6653.032250668315,39711.64382001804,True
26,BK,PINL,-122.36602,38.01,2018-10-23T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.PINL,23400.818743154203,37230.23368152215,True
28,BK,RB2B,-122.403137,37.93335,2009-11-06T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.RB2B,28369.23684918756,44868.345313444355,True
29,BK,RFSB,-122.3361,37.91608,1996-01-29T22:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.RFSB,33383.04160935999,41224.331702536474,True
30,BK,RSRB,-122.44648,37.935749,1997-06-07T00:00:00.000000Z,2001-04-20T00:00:00.000000Z,BK.RSRB,25913.659355101205,47794.158352674516,True
31,BK,SBRN,-122.41127,37.68561,2002-08-15T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.SBRN,50195.25137827477,61610.4146310316,True
32,BK,SCCB,-121.86422,37.28744,2000-04-28T11:17:00.000000Z,2012-10-05T00:00:00.000000Z,BK.SCCB,114352.14070796387,48261.04800471978,True
34,BK,SM2B,-122.11022,37.838744,2007-03-06T00:38:00.000000Z,2007-05-22T22:22:00.000000Z,BK.SM2B,51987.253995297804,30154.607936362194,True
36,BK,SMCB,-122.111588,37.83881,1997-12-19T00:00:00.000000Z,2007-06-26T19:00:00.000000Z,BK.SMCB,51910.84038467393,30247.973554779383,True
37,BK,STAN,-122.175079,37.403931,1991-08-20T00:20:00.000000Z,1994-06-30T15:06:00.000000Z,BK.STAN,87759.8288426789,63054.99467732968,True
38,BK,SVIN,-122.52632,38.03318,2003-08-05T17:51:00.000000Z,3000-01-01T00:00:00.000000Z,BK.SVIN,13042.033165639303,47101.66582846132,True
40,BK,VAK,-122.248894,37.877525,2010-08-31T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.VAK,41349.30379514741,37524.0851444738,True
41,BK,VALB,-122.275299,38.121498,2005-11-27T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,BK.VALB,18054.018816351963,23519.823102648726,True
